City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Tazacorte,ES,28.629,-17.9293,74.37,64,0,10.36,clear sky
128,Jayapura,ID,-2.5333,140.7,78.19,91,100,8.9,light rain
129,Les Avirons,RE,-21.2418,55.3394,77.09,83,0,16.11,clear sky
130,Arraial do Cabo,BR,-22.9661,-42.0278,78.66,69,100,12.66,overcast clouds
131,Saldanha,ZA,-33.0117,17.9442,73.45,71,0,30.71,clear sky
132,Naryan-Mar,RU,67.6713,53.087,-16.89,92,15,5.99,few clouds
133,Kupang,ID,-10.1667,123.5833,81.18,94,99,0.0,overcast clouds
134,Revelstoke,CA,50.9832,-118.2023,30.22,80,75,3.44,broken clouds
135,Weno,FM,7.4515,151.8468,80.55,89,100,11.5,moderate rain
136,Kashgar,CN,39.4547,75.9797,43.81,36,75,6.71,broken clouds
137,Timmins,CA,48.4669,-81.3331,37.22,93,100,9.22,mist
138,Kristiansund,NO,63.1115,7.732,36.25,60,0,10.36,clear sky
139,Mugia,ES,43.1041,-9.2179,63.16,96,100,8.59,overcast clouds
140,Lázaro Cárdenas,MX,17.9583,-102.2,84.13,56,82,0.65,broken clouds
141,Vila Franca do Campo,PT,37.7167,-25.4333,68.41,99,97,17.98,overcast clouds
142,Sault Ste. Marie,CA,46.5168,-84.3333,43.36,100,100,9.22,mist
143,Puerto Ayora,EC,-0.7393,-90.3518,84.16,91,60,5.99,broken clouds
144,Noril'sk,RU,69.3535,88.2027,-25.58,98,94,5.32,overcast clouds
145,São Félix do Xingu,BR,-6.6447,-51.995,98.82,34,64,1.74,broken clouds
146,Bambanglipuro,ID,-7.95,110.2833,80.22,78,100,4.61,overcast clouds
147,Chonchi,CL,-42.6128,-73.8092,56.41,52,73,1.72,broken clouds
148,Ulladulla,AU,-35.35,150.4667,67.77,90,100,9.84,overcast clouds
149,Chadan,RU,51.2833,91.5833,-23.55,96,84,2.91,broken clouds
150,Tūghyl,KZ,47.7252,84.2063,5.65,75,66,4.83,broken clouds
151,Whitehorse,CA,60.7161,-135.0538,10.81,82,100,0.0,light snow
152,Lobamba,SZ,-26.4667,31.2,71.06,83,79,5.41,light rain
153,Kuopio,FI,62.8924,27.677,9.21,88,100,9.22,overcast clouds
154,Lebu,CL,-37.6167,-73.65,58.78,65,0,22.06,clear sky
155,Faya-Largeau,TD,17.9257,19.1043,74.62,17,87,7.7,overcast clouds
156,Nova Sintra,CV,14.8667,-24.7167,72.3,72,0,16.62,clear sky
157,Atafu Village,TK,-8.5421,-172.5159,84.22,74,60,9.15,broken clouds
158,Coeur d'Alene,US,47.6777,-116.7805,31.64,93,0,4.61,clear sky
159,Codrington,AU,-38.2667,141.9667,55.58,62,100,16.87,overcast clouds
160,Senanga,ZM,-16.1167,23.2667,84.88,39,89,9.31,overcast clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,79.52,66,0,1.01,clear sky
162,Impfondo,CG,1.6381,18.0667,74.48,91,99,4.25,light rain
163,Illapel,CL,-31.6308,-71.1653,85.55,29,0,9.48,clear sky
164,Qaqortoq,GL,60.7167,-46.0333,26.71,70,87,8.32,overcast clouds
165,Lata,PT,40.1629,-8.3327,64.92,93,98,3.51,overcast clouds
166,Severobaykal'sk,RU,55.65,109.3167,-17.5,83,32,6.35,scattered clouds
167,Nemuro,JP,43.3236,145.575,44.06,87,11,9.01,few clouds
168,Medina,SA,24.4686,39.6142,79.23,38,0,11.5,clear sky
169,Savran',UA,48.1322,30.0825,31.69,93,100,8.3,overcast clouds
170,Oebisfelde,DE,52.4333,10.9833,43.02,71,92,14.7,overcast clouds
171,Barra,BR,-11.0894,-43.1417,92.05,41,71,15.26,broken clouds
172,Penticton,CA,49.4806,-119.5858,33.58,80,75,14.97,broken clouds
